"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"ancona",1781,1,0,0,0,0,0,1,0,1,0
"ancona",1782,1,0,0,0,0,0,1,0,1,0
"ancona",1783,1,0,0,0,0,0,1,0,1,0
"ancona",1784,1,0,0,0,0,0,1,0,1,0
"ancona",1785,1,0,0,0,0,0,1,0,1,0
"ancona",1786,1,0,1,1,0,1,1,0,1,0
"ancona",1787,1,0,0,0,0,0,1,0,1,0
"ancona",1788,1,0,0,0,0,0,1,0,1,0
"ancona",1789,1,0,0,0,0,0,1,0,1,0
"ancona",1790,1,0,0,0,0,0,1,0,1,0
"ancona",1791,1,0,0,0,0,0,1,0,1,0
"ancona",1792,1,0,0,0,0,0,1,0,1,0
"ancona",1793,1,0,1,0,0,0,1,0,1,0
"ancona",1794,1,0,0,0,0,0,1,0,1,0
"ancona",1795,1,0,0,0,0,0,1,0,1,0
"ancona",1796,1,0,0,0,0,0,1,0,1,0
"ancona",1797,1,0,0,0,0,0,1,0,1,0
"ancona",1798,1,0,0,0,0,0,1,0,1,0
"ancona",1799,1,0,0,0,0,0,1,0,1,0
"ancona",1800,1,0,0,0,0,0,1,0,1,0
"ancona",1801,1,0,0,0,0,0,1,0,1,0
"ancona",1802,1,0,0,0,0,0,1,0,1,0
"ancona",1803,1,0,1,0,0,0,1,0,1,0
"ancona",1804,1,0,0,0,0,0,1,0,1,0
"ancona",1805,1,0,0,0,0,0,1,0,1,0
"ancona",1806,1,0,0,0,0,0,1,0,1,0
"ancona",1807,1,0,0,0,0,0,1,0,1,0
"ancona",1808,1,0,0,0,0,0,1,0,1,0
"ancona",1809,1,0,0,0,0,0,1,0,1,0
"ancona",1810,1,0,0,0,0,0,1,0,1,0
"ancona",1811,1,0,0,0,0,0,1,0,1,0
"ancona",1812,1,0,0,0,0,0,1,0,1,0
"ancona",1813,1,0,0,0,0,0,1,0,1,0
"ancona",1814,1,0,0,0,0,0,1,0,1,0
"ancona",1815,1,0,0,0,0,0,1,0,1,0
"ancona",1816,1,0,0,0,0,0,1,0,1,0
"ancona",1817,1,0,0,0,0,0,1,0,1,0
"ancona",1818,1,0,0,0,0,0,1,0,1,0
"ancona",1819,1,0,0,0,0,0,1,0,1,0
"ancona",1820,1,0,0,0,0,0,1,0,1,0
"bergamo",1781,1,0,0,0,0,0,2,0,1,0
"bergamo",1782,1,0,0,0,0,0,2,0,1,0
"bergamo",1783,1,0,0,0,0,0,2,0,1,0
"bergamo",1784,1,0,0,0,0,0,2,0,1,0
"bergamo",1785,1,0,0,0,0,0,2,0,1,0
"bergamo",1786,1,0,0,0,0,0,2,0,1,0
"bergamo",1787,1,0,0,0,0,0,2,0,1,0
"bergamo",1788,1,0,0,0,0,0,2,0,1,0
"bergamo",1789,1,0,0,0,0,0,2,0,1,0
"bergamo",1790,1,0,0,0,0,0,2,0,1,0
"bergamo",1791,1,0,1,1,1,1,2,0,1,0
"bergamo",1792,1,0,0,0,0,0,2,0,1,0
"bergamo",1793,1,0,0,0,0,0,2,0,1,0
"bergamo",1794,1,0,1,0,0,0,2,0,1,0
"bergamo",1795,1,0,0,0,0,0,2,0,1,0
