"id","x_coord","y_coord","COD_PRO","sede","label","city_names","city_names2"
530,656648.9375,5034938.5,23,"verona","VR","Verona","VERONA"
640,862811.5,4834425,42,"ancona","AN","Ancona","ANCONA"
827,699456.875,5046861,24,"vicenza","VI","Vicenza","VICENZA"
1180,609111.4375,4819853,49,"livorno","LI","Livorno","LIVORNO"
1333,725721.8125,5032003,28,"padova","PD","Padova","PADOVA"
1423,941760.0625,4536270.5,63,"napoli","NA","Napoli","NAPOLI"
1476,513600.71875,5035205,15,"milano","MI","Milano","MILANO"
1644,642157,5001313.5,20,"mantova","MN","Mantova","MANTOVA"
1660,396016.03125,4991960,1,"torino","TO","Torino","TORINO"
1899,879744,4229332.5,82,"palermo","PA","Palermo","PALERMO"
2294,629600.375,4950843.5,35,"reggio nell'emilia","RE","Reggio","REGGIO"
2316,709529.625,4966888,38,"ferrara","FE","Ferrara","FERRARA"
2798,680738,4850087.5,48,"firenze","FI","Firenze","FIRENZE"
3134,605094.375,4961084.5,34,"parma","PR","Parma","PARMA"
3421,491575.46875,4921118.5,10,"genova","GE","Genova","GENOVA"
3926,761660.5625,5040554.5,27,"venezia","VE","Venezia","VENEZIA"
4530,595809,5043043.5,17,"brescia","BS","Brescia","BRESCIA"
4531,720101.3125,4994667,29,"rovigo","RO","Rovigo","ROVIGO"
4737,787241.8125,4643057,58,"roma","RM","Roma","ROMA"
5770,651986.1875,4945397,36,"modena","MO","Modena","MODENA"
6057,556614.75,4987982,33,"piacenza","PC","Piacenza","PIACENZA"
7969,551774.875,5060751.5,16,"bergamo","BG","Bergamo","BERGAMO"
5224,1070492,4247298,83,"messina","ME","Messina","MESSINA"
