"_ID","_X","_Y"
1,NA,NA
1,717065.5014,5154678.5013
1,716760.5014,5154131.5013
1,716113.5014,5153690.0013
1,716097.0014,5153622.5013
1,716012.0014,5153186.5013
1,715786.2514,5151959.5013
1,715788.7514,5151943.0013
1,715802.0014,5151891.0013
1,716025.0014,5151220.0013
1,716026.0014,5151218.7513
1,716045.2514,5151197.5013
1,716046.2514,5151196.5013
1,716206.0014,5151115.7513
1,716270.7514,5151083.5013
1,716310.5014,5151071.7513
1,716351.2514,5151060.2513
1,716893.2514,5150957.7513
1,718663.5014,5150957.0013
1,720572.2514,5150816.0013
1,720737.7514,5150802.2513
1,720814.5014,5150770.5013
1,720906.5014,5150722.5013
1,720964.7514,5150689.5013
1,721009.5014,5150645.5013
1,721010.5014,5150644.5013
1,721076.0014,5150578.7513
1,721165.7514,5150418.5013
1,721258.7514,5150278.5013
1,721410.2514,5150097.7513
1,721497.0014,5150048.2513
1,721735.2514,5149916.2513
1,721782.0014,5149759.0013
1,721865.0014,5149164.0013
1,721991.7514,5147596.5013
1,721999.0014,5147497.0013
1,721977.5014,5147413.5013
1,720864.2514,5146527.0013
1,720797.2514,5146475.0013
1,720703.5014,5146416.0013
1,720637.5014,5146387.5013
1,720566.0014,5146379.0013
1,720047.7514,5146355.0013
1,719980.7514,5146372.0013
1,719923.7514,5146392.0013
1,719895.2514,5146416.0013
1,719846.7514,5146436.5013
1,719778.2514,5146457.0013
1,719625.5014,5146460.0013
1,719068.7514,5146452.5013
1,719052.5014,5146439.0013
1,719051.7514,5146435.2513
1,718909.5014,5145861.0013
1,718362.5014,5144719.5013
1,718335.7514,5144658.2513
1,718321.2514,5144625.5013
1,718289.0014,5144552.5013
1,718243.7514,5144435.0013
1,718200.2514,5144299.0013
1,718199.0014,5144280.0013
1,718216.0014,5144241.0013
1,718227.0014,5144224.5013
1,718340.0014,5144087.7513
1,718371.0014,5144053.2513
1,718641.7514,5143724.5013
1,718549.0014,5143578.0013
1,718517.2514,5143521.5013
1,718472.2514,5143437.5013
