"state","state1","year","copyright","post1801","copyright_post1801","operas","operas_annals","operas_met","operas_amazon","operas_lascala","operas_paris","operas_vienna","operas_buenos_aires","operas_no_milan","opera_nomi_nove","operas_novenice","linear_pretrend","pretrend_modena","pretrend_parma","pretrend_tuscany","pretrend_lombardy","pretrend_papal_state","pretrend_sardinia","pretrend_sicily","pretrend_venetia","cluster"
"d_parma",2,1801,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_modena",1,1815,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"sardinia",6,1786,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,11
"papal_state",5,1803,0,1,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1799,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,19,0,0,0,0,0,5
"gd_tuscany",3,1807,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"d_parma",2,1816,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_parma",2,1787,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,7,0,0,0,0,0,0,3
"papal_state",5,1782,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,9
"two_sicilies",7,1783,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,3,0,13
"gd_tuscany",3,1789,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,9,0,0,0,0,0,5
"gd_tuscany",3,1783,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,5
"d_modena",1,1791,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,11,0,0,0,0,0,0,0,1
"two_sicilies",7,1812,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,14
"sardinia",6,1813,0,1,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,12
"d_parma",2,1813,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"gd_tuscany",3,1781,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,5
"papal_state",5,1806,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1806,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"d_modena",1,1816,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"papal_state",5,1809,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,10
"sardinia",6,1806,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,12
"papal_state",5,1786,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,0,9
"d_parma",2,1782,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,3
"sardinia",6,1803,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
"gd_tuscany",3,1782,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,5
"gd_tuscany",3,1800,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,20,0,0,0,0,0,5
"d_modena",1,1809,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"papal_state",5,1808,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,10
"d_parma",2,1808,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_parma",2,1799,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,19,0,0,0,0,0,0,3
"two_sicilies",7,1818,0,1,0,5,2,2,2,2,2,2,2,5,5,5,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1817,0,1,0,3,1,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1816,0,1,0,7,2,2,3,2,2,2,2,7,7,7,0,0,0,0,0,0,0,0,0,14
"papal_state",5,1794,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,14,0,0,0,9
"d_parma",2,1781,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3
"two_sicilies",7,1810,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,14
"sardinia",6,1797,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,17,0,0,11
"d_parma",2,1798,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,18,0,0,0,0,0,0,3
"two_sicilies",7,1785,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,5,0,13
"two_sicilies",7,1801,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1782,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,13
"two_sicilies",7,1804,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1803,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1802,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1811,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1820,0,1,0,7,1,1,1,1,1,1,1,7,7,7,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1799,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,19,0,13
"d_modena",1,1796,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,16,0,0,0,0,0,0,0,1
"gd_tuscany",3,1817,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1820,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"two_sicilies",7,1792,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,12,0,13
"two_sicilies",7,1791,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,11,0,13
"papal_state",5,1785,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,9
"two_sicilies",7,1784,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,13
"two_sicilies",7,1788,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,8,0,13
"d_parma",2,1807,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_modena",1,1798,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,18,0,0,0,0,0,0,0,1
"gd_tuscany",3,1787,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,7,0,0,0,0,0,5
