"year","copyright","total_operas","total_operas_01"
1781,1,2,NA
1782,1,1,NA
1783,1,1,NA
1784,1,1,NA
1785,1,1,NA
1786,1,1,NA
1787,1,1,NA
1788,1,1,NA
1789,1,1,NA
1790,1,2,NA
1791,1,2,NA
1792,1,1.70000004768372,NA
1793,1,4.5,NA
1794,1,1,NA
1795,1,3,NA
1796,1,3,NA
1797,1,1.5,NA
1798,1,1,NA
1799,1,1,NA
1800,1,1,NA
1801,1,3.5,NA
1802,1,4,NA
1803,1,5.5,NA
1804,1,6.5,NA
1805,1,6,NA
1806,1,2.5,NA
1807,1,3,NA
1808,1,3,NA
1809,1,4,NA
1810,1,6,NA
1811,1,2.5,NA
1812,1,7,NA
1813,1,5,NA
1814,1,5.5,NA
1815,1,6.40000009536743,NA
1816,1,4,NA
1817,1,4,NA
1818,1,4,NA
1819,1,3,NA
1820,1,3,NA
1781,0,1.5,1.5
1782,0,1.29999995231628,1.29999995231628
1783,0,1.70000004768372,1.70000004768372
1784,0,1.20000004768372,1.20000004768372
1785,0,1.70000004768372,1.70000004768372
1786,0,1.5,1.39999997615814
1787,0,1.29999995231628,1.60000002384186
1788,0,1.39999997615814,1.5
1789,0,1.39999997615814,1.5
1790,0,1.5,1.60000002384186
1791,0,1.70000004768372,1
1792,0,1.10000002384186,1.5
1793,0,1.5,1.79999995231628
1794,0,2.20000004768372,2.20000004768372
1795,0,1.39999997615814,1.5
1796,0,1.20000004768372,1.39999997615814
1797,0,2,NA
1798,0,1.60000002384186,NA
1799,0,2,NA
1800,0,2.20000004768372,NA
1801,0,2,NA
1802,0,3,NA
1803,0,1.89999997615814,NA
1804,0,2,NA
1805,0,2,NA
1806,0,1.5,NA
1807,0,2,NA
1808,0,3,NA
1809,0,2.20000004768372,NA
1810,0,2.5,NA
1811,0,2,NA
1812,0,2.5,NA
1813,0,2.20000004768372,NA
1814,0,3,NA
1815,0,3.79999995231628,NA
1816,0,2,NA
1817,0,3,NA
1818,0,3.20000004768372,NA
1819,0,3.90000009536743,NA
1820,0,2.79999995231628,NA
