"years_since_premiere","repeat_performance","lombardy_venetia","other_states"
0,225,225,225
1,10,10,10
2,20,20,20
3,2,2,NA
4,7,7,NA
5,15,15,15
6,NA,NA,NA
7,NA,NA,NA
8,9,NA,9
9,12,12,NA
10,37,37,NA
11,20,20,NA
12,NA,NA,NA
13,NA,NA,NA
14,11,11,NA
15,NA,NA,NA
16,NA,NA,NA
17,NA,NA,NA
18,NA,NA,15
19,20,20,NA
20,NA,NA,NA
21,NA,NA,NA
22,NA,NA,NA
23,NA,NA,NA
24,2,2,NA
25,3,3,NA
27,NA,NA,NA
28,NA,NA,NA
29,NA,NA,NA
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,6,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,NA,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,NA,NA,NA
62,NA,NA,NA
63,NA,NA,NA
64,NA,NA,NA
65,5,5,5
66,NA,NA,NA
67,NA,NA,NA
68,3,3,3
70,NA,NA,NA
71,NA,NA,NA
73,NA,NA,NA
74,NA,NA,NA
76,NA,NA,NA
78,NA,NA,NA
80,8,8,8
82,NA,NA,NA
87,NA,NA,NA
88,NA,NA,NA
91,NA,NA,NA
96,NA,NA,NA
97,NA,NA,NA
99,NA,NA,NA
100,5,NA,5
