"year","true_lombardy","synthetic_lombardy","true_venetia","synthetic_venetia"
1781,1,1.04999995231628,3,1
1782,1,1,1,1.39999997615814
1783,1,1.10000002384186,1,2
1784,1,1,1,1
1785,1,1.10000002384186,1,2
1786,1,1,1,1.75
1787,1,1.10000002384186,1,1.5
1788,1,1,1,1.79999995231628
1789,1,1.10000002384186,1,1.5
1790,1,1,3,1.5
1791,1,1.10000002384186,3,1.79999995231628
1792,1,1,2,1
1793,3,1.10000002384186,7,1.89999997615814
1794,1,1.29999995231628,1,3
1795,1,1.10000002384186,5,1.39999997615814
1796,1,1,5,1
1797,1,1.10000002384186,2,1
1798,1,1,1,1.39999997615814
1799,1,1.20000004768372,1,2.20000004768372
1800,1,1.29999995231628,1,1.70000004768372
1801,4,2,3,1.79999995231628
1802,5,1,3,2.29999995231628
1803,3,2,8,1.5
1804,5,1,8,1.70000004768372
1805,5,0.800000011920929,7,1.79999995231628
1806,4,0.899999976158142,1,1
1807,2,1,4,2
1808,4,3,2,2.5
1809,4,1,4,1.60000002384186
1810,5,1.20000004768372,7,2
1811,4,2,1,2.09999990463257
1812,6,2.09999990463257,6,2.09999990463257
1813,8,1,4,2
1814,6,1.20000004768372,3,3.79999995231628
1815,8,1,4,3.5
1816,9,2,4,3.20000004768372
1817,7,1.29999995231628,2,1.79999995231628
1818,5,1,3,2
1819,5,1.20000004768372,3,3.79999995231628
1820,4,1.39999997615814,2,3.5
