"year","theaters_l_v","theaters_other_states"
1770,0.300000011920929,0.25
1771,0.200000002980232,0.25
1772,0.200000002980232,0.25
1773,0.200000002980232,0.25
1774,0.400000005960464,0.25
1775,0.400000005960464,0.25
1776,0.400000005960464,0.25
1777,0.400000005960464,0.25
1778,0.400000005960464,0.25
1779,0.400000005960464,0.25
1780,0.400000005960464,0.25
1781,0.400000005960464,0.25
1782,0.400000005960464,0.25
1783,0.400000005960464,0.25
1784,0.400000005960464,0.25
1785,0.400000005960464,0.25
1786,0.400000005960464,0.25
1787,0.400000005960464,0.25
1788,0.400000005960464,0.25
1789,0.400000005960464,0.25
1790,0.400000005960464,0.25
1791,0.400000005960464,0.25
1792,0.400000005960464,0.25
1793,0.400000005960464,0.25
1794,0.400000005960464,0.25
1795,0.400000005960464,0.349999994039536
1796,0.400000005960464,0.349999994039536
1797,0.400000005960464,0.349999994039536
1798,0.400000005960464,0.349999994039536
1799,0.400000005960464,0.349999994039536
1800,0.400000005960464,0.349999994039536
1801,0.400000005960464,0.349999994039536
1802,0.400000005960464,0.349999994039536
1803,0.400000005960464,0.349999994039536
1804,0.600000023841858,0.349999994039536
1805,0.600000023841858,0.349999994039536
1806,0.600000023841858,0.349999994039536
1807,0.600000023841858,0.349999994039536
1808,0.600000023841858,0.349999994039536
1809,0.600000023841858,0.349999994039536
1810,0.600000023841858,0.349999994039536
1811,0.600000023841858,0.349999994039536
1812,0.600000023841858,0.349999994039536
1813,0.600000023841858,0.349999994039536
1814,0.600000023841858,0.349999994039536
1815,0.600000023841858,0.349999994039536
1816,0.600000023841858,0.349999994039536
1817,0.600000023841858,0.349999994039536
1818,0.600000023841858,0.349999994039536
1819,0.600000023841858,0.349999994039536
1820,0.600000023841858,0.349999994039536
1821,0.600000023841858,0.349999994039536
1822,0.600000023841858,0.349999994039536
1823,0.600000023841858,0.349999994039536
1824,0.600000023841858,0.349999994039536
1825,0.600000023841858,0.349999994039536
1826,0.600000023841858,0.349999994039536
1827,0.600000023841858,0.349999994039536
1828,0.600000023841858,0.349999994039536
1829,0.600000023841858,0.349999994039536
1830,0.600000023841858,0.349999994039536
1831,0.75,0.349999994039536
1832,0.75,0.349999994039536
1833,0.75,0.349999994039536
1834,0.75,0.349999994039536
1835,0.75,0.349999994039536
1836,0.75,0.400000005960464
1837,0.75,0.400000005960464
1838,0.75,0.400000005960464
1839,0.75,0.400000005960464
1840,0.75,0.400000005960464
1841,0.75,0.400000005960464
1842,0.75,0.400000005960464
1843,0.75,0.400000005960464
1844,0.75,0.400000005960464
1845,0.75,0.400000005960464
1846,0.75,0.400000005960464
1847,0.75,0.400000005960464
1848,0.75,0.400000005960464
1849,0.75,0.449999988079071
1850,0.75,0.5
1851,0.850000023841858,0.5
1852,0.850000023841858,0.5
1853,0.850000023841858,0.5
1854,0.850000023841858,0.5
1855,0.850000023841858,0.5
1856,0.850000023841858,0.5
1857,0.850000023841858,0.5
1858,0.850000023841858,0.5
1859,0.850000023841858,0.5
1860,0.850000023841858,0.600000023841858
1861,0.850000023841858,0.600000023841858
1862,0.850000023841858,0.600000023841858
1863,0.850000023841858,0.600000023841858
1864,0.850000023841858,0.600000023841858
1865,0.850000023841858,0.600000023841858
1866,1.20000004768372,1.10000002384186
1867,1.20000004768372,1.10000002384186
1868,1.20000004768372,1.10000002384186
1869,1.35000002384186,1.25
1870,1.35000002384186,1.25
1871,1.35000002384186,1.25
1872,1.35000002384186,1.25
1873,1.35000002384186,1.25
1874,1.35000002384186,1.25
1875,1.35000002384186,1.25
1876,1.35000002384186,1.25
1877,1.35000002384186,1.25
1878,1.35000002384186,1.25
1879,1.35000002384186,1.25
1880,1.35000002384186,1.25
1881,1.35000002384186,1.39999997615814
1882,1.35000002384186,1.39999997615814
1883,1.35000002384186,1.39999997615814
1884,1.35000002384186,1.39999997615814
1885,1.35000002384186,1.39999997615814
1886,1.35000002384186,1.39999997615814
1887,1.35000002384186,1.39999997615814
1888,1.35000002384186,1.39999997615814
1889,1.35000002384186,1.39999997615814
1890,1.35000002384186,1.39999997615814
1891,1.35000002384186,1.39999997615814
1892,1.35000002384186,1.39999997615814
1893,1.35000002384186,1.39999997615814
1894,1.35000002384186,1.39999997615814
1895,1.35000002384186,1.39999997615814
1896,1.35000002384186,1.39999997615814
1897,1.35000002384186,1.39999997615814
1898,1.35000002384186,1.39999997615814
1899,1.35000002384186,1.39999997615814
1900,1.35000002384186,1.33000004291534
